t,ActivePower,Y(t-1),BearingShaftTemperature
140,207.3797505,140.6156408,43.24010513
141,114.6794569,207.3797505,43.14482675
142,223.3692994,114.6794569,43.04567011
143,193.3310128,223.3692994,42.94258286
144,140.7508917,193.3310128,42.83310589
145,182.7689444,140.7508917,42.7129176
146,189.7346589,182.7689444,42.63044744
147,113.0067731,189.7346589,42.50843263
148,92.42861995,113.0067731,42.427919
149,71.45127556,92.42861995,42.3126915
150,104.296156,71.45127556,42.21043388
151,64.798772,104.296156,42.121378
152,22.03004768,64.798772,42.02494538
153,-4.102183626,22.03004768,41.86920463
154,-6.162553372,-4.102183626,41.2222778
155,-5.979315063,-6.162553372,40.89598614
156,-6.028154195,-5.979315063,40.69459057
157,-6.022675878,-6.028154195,40.4896172
158,-5.970672917,-6.022675878,40.29641429
159,-5.990825883,-5.970672917,40.18276463
160,-5.570411582,-5.990825883,40.07924075
161,-6.362259726,-5.570411582,39.99122322
162,-6.058290994,-6.362259726,39.89179286
163,-5.775441622,-6.058290994,39.79870988
164,-5.8594588,-5.775441622,39.68386313
165,-5.146994684,-5.8594588,39.58590989
